الفرع,من المسؤول عن دفع القسط,هل تعمل الى جانب الدراسة,المحافظة,عدد الساعات لمسجل عليها,هل سبق وأن تأخر في سداد القسط عن الموعد المحدد,المعدل التراكمي التقريبي من 100,نسبة الحضور في جميع المقررات من 100,عدد المرات التي تأخرت بها عن تسديد القسط,اقصى مدة زمنية تأخرت بها عن تسديد القسط بالايام,عدد المرات التي لم تتأخر بها عن تسديد القسط,الدخل المالي الشهري للعائلة بالدولار حصرا,عدد الاخوة والاخوات الطلاب في التعليم الجامعي الخاص,قيمة القسط الفصلي بشكل تقديري,هل سددت القسط الأخير في موعده,السنة الدراسية,عدد الاشخاص العاملين بالاسرة,هل توجد أقساط جامعية سابقة غير مسددة,السكن,بعد سكن الطالب عن مركز الجامعة بالكيلو متر
هندسة معلوماتية,الطالب,نعم,ادلب,12.0,لا,75.0,40,2.0,5.0,8.0,بين 500 و 1000,1.0,160.0,نعم,خامسة,5,لا,ايجار,110.0
هندسة معلوماتية,الأسرة(اب-أم),لا,دمشق,18.0,نعم,72.0,97,2.0,4.0,3.0,بين 200 و 500,2.0,215.0,نعم,ثانية,1,لا,ايجار,6.0
هندسة معلوماتية,الطالب,نعم,حلب,9.0,لا,76.0,50,0.0,0.0,15.0,بين 200 و 500,1.0,99.0,نعم,خامسة,2,لا,ايجار,3.0
هندسة معلوماتية,الأسرة(اب-أم),لا,حلب,3.0,لا,75.0,90,1.0,1.0,11.0,بين 200 و 500,1.0,113.0,نعم,خامسة,2,لا,ملك,7.0
هندسة معلوماتية,الطالب,نعم,ادلب,9.0,نعم,70.0,15,6.0,30.0,3.0,بين 200 و 500,1.0,250.0,نعم,خامسة,2,لا,ملك,6.0
هندسة معلوماتية,الطالب,نعم,ادلب,3.0,نعم,70.0,30,2.0,2.0,20.0,بين 200 و 500,3.0,250.0,لا,خامسة,3,نعم,ايجار,120.0
هندسة معلوماتية,الأسرة(اب-أم),لا,ادلب,9.0,لا,85.0,95,4.0,7.0,4.0,بين 100 و 200,1.0,160.0,نعم,ثالثة,1,لا,ايجار,7.0
هندسة معلوماتية,الطالب,نعم,حلب,9.0,لا,70.0,10,1.0,1.0,1.0,اكثر من 1000,1.0,170.0,نعم,ثالثة,4,لا,ملك,20.0
هندسة معلوماتية,الطالب,نعم,حلب,6.0,نعم,70.0,10,3.0,20.0,10.0,بين 200 و 500,3.0,200.0,نعم,خامسة,2,لا,ملك,20.0
هندسة معلوماتية,الطالب,نعم,ادلب,12.0,نعم,70.0,60,5.0,7.0,10.0,بين 200 و 500,5.0,370.0,نعم,خامسة,3,لا,ايجار,10.0
هندسة معلوماتية,الأسرة(اب-أم),لا,حلب,3.0,نعم,75.0,60,8.0,7.0,5.0,بين 200 و 500,1.0,150.0,نعم,خامسة,1,نعم,ايجار,60.0
هندسة معلوماتية,الأسرة(اب-أم),لا,ادلب,9.0,لا,80.0,75,1.0,7.0,8.0,بين 500 و 1000,2.0,170.0,نعم,رابعة,1,لا,ملك,6.0
هندسة معلوماتية,الأسرة(اب-أم),لا,ادلب,9.0,لا,75.0,70,1.0,1.0,5.0,بين 200 و 500,1.0,200.0,نعم,رابعة,3,لا,مخيم,0.5
هندسة معلوماتية,الطالب,نعم,حلب,9.0,نعم,82.0,80,2.0,7.0,2.0,بين 100 و 200,1.0,150.0,نعم,ثانية,2,لا,ملك,45.0
هندسة معلوماتية,الأسرة(اب-أم),لا,حماه,9.0,نعم,70.0,75,1.0,3.0,8.0,بين 200 و 500,1.0,400.0,نعم,رابعة,1,لا,ايجار,1.0
هندسة معلوماتية,الأسرة(اب-أم),لا,ادلب,3.0,نعم,78.0,90,2.0,11.0,1.0,بين 100 و 200,2.0,560.0,نعم,ثانية,1,لا,ايجار,150.0
هندسة معلوماتية,الطالب,نعم,حلب,12.0,لا,69.0,60,1.0,7.0,2.0,بين 500 و 1000,1.0,150.0,نعم,خامسة,1,لا,ملك,4.0
هندسة معلوماتية,الأسرة(اب-أم),نعم,حلب,9.0,لا,75.0,45,1.0,1.0,9.0,بين 200 و 500,1.0,130.0,نعم,رابعة,3,لا,ملك,35.0
هندسة معلوماتية,الأسرة(اب-أم),لا,ادلب,9.0,لا,70.0,75,1.0,1.0,1.0,بين 200 و 500,1.0,142.5,نعم,خامسة,1,لا,ملك,125.0
هندسة معلوماتية,الطالب,نعم,ادلب,9.0,نعم,68.0,50,1.0,1.0,1.0,بين 200 و 500,1.0,400.0,نعم,رابعة,2,لا,ملك,140.0
هندسة معلوماتية,الطالب,نعم,ادلب,9.0,نعم,60.0,30,2.0,3.0,5.0,بين 100 و 200,2.0,160.0,نعم,رابعة,8,نعم,ايجار,50.0
هندسة معلوماتية,الطالب,نعم,حلب,6.0,نعم,65.0,10,12.0,30.0,12.0,اقل من 100,2.0,99.0,لا,خامسة,3,لا,ايجار,6.0
هندسة معلوماتية,الأسرة(اب-أم),نعم,حلب,12.0,لا,74.0,90,1.0,5.0,4.0,بين 100 و 200,2.0,450.0,نعم,ثانية,1,لا,ملك,59.0
هندسة معلوماتية,الأسرة(اب-أم),لا,ادلب,9.0,نعم,67.0,50,3.0,14.0,8.0,بين 100 و 200,1.0,170.0,نعم,رابعة,1,لا,ايجار,5.0
هندسة معلوماتية,الطالب,لا,حلب,9.0,نعم,75.0,80,3.0,5.0,9.0,بين 200 و 500,3.0,200.0,نعم,خامسة,1,لا,ملك,2.0
هندسة معلوماتية,الطالب,نعم,حلب,9.0,نعم,70.0,20,2.0,60.0,4.0,بين 500 و 1000,1.0,100.0,نعم,رابعة,2,لا,ايجار,20.0
هندسة معلوماتية,الطالب,نعم,ادلب,25.0,نعم,77.0,90,3.0,60.0,7.0,بين 100 و 200,1.0,200.0,لا,رابعة,2,نعم,ملك,3.0
هندسة معلوماتية,الطالب,نعم,ادلب,9.0,نعم,75.0,50,3.0,13.0,7.0,بين 200 و 500,2.0,160.0,نعم,رابعة,2,لا,ملك,60.0
هندسة معلوماتية,الطالب,لا,حلب,9.0,نعم,84.0,50,2.0,30.0,7.0,بين 200 و 500,2.0,300.0,لا,رابعة,2,لا,ايجار,10.0
هندسة معلوماتية,الطالب,نعم,ادلب,6.0,لا,50.0,20,1.0,5.0,5.0,بين 100 و 200,1.0,60.0,نعم,ثانية,3,لا,ملك,160.0
هندسة معلوماتية,الطالب,نعم,ادلب,9.0,نعم,50.0,30,5.0,30.0,4.0,بين 100 و 200,1.0,300.0,لا,رابعة,1,نعم,ايجار,20.0
هندسة معلوماتية,الأسرة(اب-أم),لا,حلب,9.0,لا,74.0,90,1.0,1.0,5.0,بين 200 و 500,1.0,186.0,نعم,ثالثة,2,لا,ملك,80.0
هندسة معلوماتية,الأسرة(اب-أم),لا,ادلب,6.0,لا,83.0,95,1.0,1.0,7.0,اقل من 100,1.0,230.0,نعم,رابعة,1,لا,ايجار,5.0
هندسة معلوماتية,الطالب,نعم,ادلب,6.0,نعم,80.0,60,5.0,20.0,10.0,بين 500 و 1000,4.0,50.0,نعم,خامسة,2,لا,ايجار,95.0
هندسة معلوماتية,الطالب,نعم,حلب,9.0,لا,80.4,60,2.0,40.0,3.0,بين 200 و 500,1.0,170.0,نعم,ثالثة,2,لا,ملك,6.0
هندسة معلوماتية,الطالب,نعم,حماه,6.0,لا,70.0,75,1.0,1.0,14.0,اقل من 100,1.0,100.0,نعم,خامسة,3,لا,مخيم,75.0
هندسة معلوماتية,الأسرة(اب-أم),لا,حمص,9.0,نعم,70.0,78,6.0,5.0,2.0,بين 100 و 200,1.0,185.0,نعم,رابعة,2,لا,ايجار,250.0
هندسة معلوماتية,الطالب,نعم,ادلب,9.0,نعم,74.0,50,1.0,7.0,7.0,بين 200 و 500,1.0,150.0,نعم,رابعة,3,لا,ملك,160.0
هندسة معلوماتية,الطالب,نعم,ادلب,9.0,لا,80.0,50,1.0,1.0,1.0,بين 200 و 500,1.0,90.0,نعم,خامسة,2,لا,ايجار,15.0
هندسة معلوماتية,الأسرة(اب-أم),نعم,حلب,6.0,لا,70.0,60,1.0,1.0,20.0,بين 200 و 500,2.0,400.0,نعم,رابعة,3,لا,ملك,4.0
هندسة معلوماتية,الطالب,نعم,حلب,9.0,لا,70.0,85,1.0,2.0,6.0,بين 100 و 200,2.0,200.0,نعم,رابعة,2,لا,ايجار,20.0
هندسة معلوماتية,الأسرة(اب-أم),نعم,ادلب,9.0,نعم,85.0,95,7.0,100.0,2.0,بين 200 و 500,4.0,200.0,لا,رابعة,1,لا,ايجار,3.0
هندسة معلوماتية,الأسرة(اب-أم),لا,حلب,9.0,نعم,50.0,80,4.0,30.0,2.0,بين 200 و 500,1.0,183.0,نعم,ثالثة,1,لا,ملك,45.0
هندسة معلوماتية,الأسرة(اب-أم),لا,دير الزور,9.0,نعم,85.0,93,1.0,7.0,8.0,بين 200 و 500,1.0,150.0,نعم,رابعة,1,لا,ايجار,20.0
هندسة معلوماتية,الأسرة(اب-أم),لا,حلب,18.0,نعم,75.0,100,1.0,3.0,4.0,بين 200 و 500,2.0,400.0,نعم,ثالثة,1,لا,ايجار,10.0
هندسة معلوماتية,الطالب,نعم,حمص,9.0,نعم,70.0,50,15.0,10.0,4.0,بين 100 و 200,1.0,150.0,لا,ثالثة,2,لا,ايجار,8.0
هندسة معلوماتية,الطالب,نعم,ادلب,9.0,نعم,75.0,50,5.0,30.0,1.0,بين 200 و 500,4.0,150.0,لا,رابعة,2,نعم,ايجار,120.0
هندسة معلوماتية,الأسرة(اب-أم),لا,حلب,18.0,نعم,80.0,80,2.0,40.0,7.0,بين 200 و 500,1.0,150.0,نعم,خامسة,1,لا,ايجار,100.0
هندسة معلوماتية,الطالب,نعم,ادلب,9.0,لا,65.0,60,1.0,1.0,6.0,بين 200 و 500,1.0,130.0,نعم,خامسة,3,لا,ملك,5.0
هندسة معلوماتية,الطالب,نعم,ادلب,9.0,لا,65.0,60,1.0,1.0,6.0,بين 200 و 500,1.0,130.0,نعم,خامسة,2,لا,ملك,5.0
هندسة معلوماتية,الأسرة(اب-أم),لا,ادلب,9.0,نعم,72.5,90,4.0,20.0,4.0,بين 200 و 500,2.0,200.0,نعم,خامسة,1,لا,ملك,10.0
هندسة معلوماتية,الطالب,نعم,ادلب,27.0,نعم,75.0,80,2.0,10.0,6.0,بين 200 و 500,1.0,250.0,نعم,رابعة,2,لا,ايجار,80.0
هندسة معلوماتية,الطالب,نعم,ادلب,9.0,لا,70.0,1,1.0,1.0,1.0,بين 200 و 500,1.0,100.0,نعم,خامسة,2,لا,ملك,100.0
هندسة معلوماتية,الطالب,نعم,ادلب,9.0,نعم,72.0,65,3.0,5.0,6.0,بين 200 و 500,1.0,200.0,نعم,خامسة,1,لا,مخيم,55.0
هندسة معلوماتية,الطالب,نعم,ادلب,3.0,نعم,70.0,60,3.0,30.0,8.0,بين 500 و 1000,1.0,300.0,نعم,رابعة,6,لا,ملك,5.0
هندسة معلوماتية,الطالب,نعم,حلب,9.0,نعم,75.0,60,3.0,13.0,2.0,بين 100 و 200,1.0,150.0,نعم,رابعة,1,لا,ايجار,80.0
هندسة معلوماتية,الأسرة(اب-أم),لا,حلب,9.0,نعم,74.0,40,3.0,7.0,7.0,بين 200 و 500,1.0,135.0,نعم,رابعة,1,لا,ايجار,7.0
هندسة معلوماتية,الطالب,نعم,ادلب,9.0,نعم,70.0,45,1.0,5.0,10.0,بين 200 و 500,1.0,200.0,نعم,رابعة,2,لا,ملك,90.0
هندسة مدنية,الأسرة(اب-أم),لا,حلب,30.0,نعم,70.0,100,2.0,30.0,1.0,بين 100 و 200,2.0,1000.0,لا,أولى,2,نعم,ملك,10.0
هندسة معلوماتية,الأسرة(اب-أم),لا,حلب,32.0,نعم,85.0,100,1.0,10.0,1.0,بين 200 و 500,1.0,450.0,نعم,ثانية,1,لا,ايجار,120.0
هندسة معلوماتية,الأسرة(اب-أم),لا,ادلب,9.0,نعم,80.0,100,4.0,4.0,2.0,بين 200 و 500,2.0,250.0,نعم,ثانية,2,لا,مخيم,1.0
هندسة معلوماتية,الطالب,نعم,ادلب,12.0,لا,70.0,40,0.0,0.0,5.0,اكثر من 1000,1.0,200.0,نعم,رابعة,3,لا,ملك,170.0
هندسة معلوماتية,الأسرة(اب-أم),لا,ادلب,9.0,لا,85.0,70,1.0,3.0,5.0,بين 500 و 1000,1.0,100.0,نعم,رابعة,2,لا,ايجار,2.0
هندسة معلوماتية,الطالب,نعم,ادلب,8.0,نعم,77.0,50,2.0,30.0,1.0,بين 100 و 200,1.0,500.0,نعم,أولى,2,لا,ايجار,130.0
هندسة معلوماتية,الأسرة(اب-أم),لا,حماه,9.0,نعم,68.0,70,3.0,7.0,10.0,بين 500 و 1000,1.0,150.0,نعم,خامسة,1,لا,ايجار,20.0
هندسة مدنية,منحة,نعم,حلب,9.0,نعم,90.0,95,1.0,20.0,1.0,بين 100 و 200,2.0,150.0,لا,ثانية,3,لا,ملك,50.0
هندسة مدنية,الأسرة(اب-أم),لا,ادلب,18.0,نعم,83.0,100,2.0,7.0,1.0,بين 200 و 500,1.0,250.0,نعم,أولى,2,لا,ايجار,3.0
علوم طبية وصحية,الأسرة(اب-أم),نعم,ادلب,12.0,لا,72.0,90,1.0,1.0,5.0,اكثر من 1000,1.0,740.0,نعم,أولى,1,لا,ايجار,1.0
هندسة معلوماتية,الطالب,نعم,ادلب,9.0,لا,74.0,70,1.0,1.0,12.0,بين 200 و 500,1.0,300.0,نعم,رابعة,5,لا,ايجار,10.0
هندسة معلوماتية,الطالب,نعم,ريف دمشق,6.0,نعم,74.0,20,2.0,14.0,6.0,بين 200 و 500,2.0,200.0,لا,خامسة,2,لا,ملك,20.0
هندسة معلوماتية,الأسرة(اب-أم),نعم,حمص,9.0,نعم,83.0,50,5.0,2.0,1.0,بين 200 و 500,1.0,300.0,لا,رابعة,2,لا,ايجار,3.0
هندسة معلوماتية,الطالب,نعم,ادلب,9.0,نعم,70.0,10,1.0,10.0,3.0,بين 500 و 1000,1.0,130.0,نعم,رابعة,2,لا,ايجار,100.0
علوم طبية وصحية,الأسرة(اب-أم),لا,ادلب,9.0,لا,75.0,70,1.0,1.0,1.0,اقل من 100,3.0,608.0,نعم,أولى,1,لا,ايجار,5.0
علوم طبية وصحية,الطالب,نعم,ادلب,18.0,نعم,70.0,70,2.0,21.0,1.0,بين 100 و 200,2.0,770.0,لا,ثانية,1,لا,ايجار,100.0
هندسة معلوماتية,الأسرة(اب-أم),لا,ادلب,7.0,نعم,70.0,100,1.0,7.0,2.0,بين 100 و 200,1.0,200.0,نعم,ثانية,1,لا,ملك,167.0
هندسة معلوماتية,الأسرة(اب-أم),لا,حلب,9.0,نعم,85.0,80,1.0,1.0,4.0,بين 200 و 500,2.0,200.0,لا,ثالثة,1,لا,ايجار,200.0
علوم طبية وصحية,الأسرة(اب-أم),نعم,حلب,32.0,نعم,87.0,99,1.0,30.0,1.0,بين 100 و 200,1.0,670.0,نعم,أولى,1,لا,ايجار,51.0
هندسة مدنية,الطالب,نعم,حلب,18.0,نعم,72.0,100,2.0,7.0,1.0,بين 100 و 200,1.0,400.0,لا,ثالثة,3,لا,ايجار,70.0
هندسة مدنية,الأسرة(اب-أم),نعم,حلب,8.0,لا,70.0,70,1.0,7.0,5.0,بين 100 و 200,2.0,70.0,نعم,ثانية,1,لا,ايجار,5.0
هندسة معلوماتية,الأسرة(اب-أم),لا,ادلب,9.0,لا,75.0,85,7.0,10.0,5.0,بين 200 و 500,1.0,200.0,نعم,خامسة,1,لا,ايجار,40.0
هندسة معلوماتية,الأسرة(اب-أم),لا,ادلب,9.0,نعم,40.0,70,1.0,7.0,1.0,بين 200 و 500,1.0,100.0,نعم,ثانية,1,لا,ايجار,100.0
علوم طبية وصحية,الأسرة(اب-أم),لا,حلب,17.0,لا,83.0,97,1.0,1.0,2.0,بين 500 و 1000,1.0,600.0,نعم,ثانية,3,لا,ايجار,35.0
هندسة معلوماتية,الطالب,نعم,حلب,6.0,لا,71.0,1,1.0,7.0,4.0,بين 200 و 500,1.0,260.0,نعم,رابعة,2,لا,ايجار,60.0
هندسة معلوماتية,الطالب,نعم,ادلب,9.0,نعم,75.0,50,10.0,30.0,1.0,بين 200 و 500,4.0,150.0,لا,رابعة,2,نعم,ايجار,120.0
هندسة معلوماتية,الطالب,نعم,حلب,9.0,لا,70.0,65,1.0,1.0,3.0,بين 200 و 500,1.0,500.0,نعم,ثانية,3,لا,ايجار,5.0
هندسة معلوماتية,الأسرة(اب-أم),لا,حلب,9.0,لا,72.0,70,1.0,1.0,5.0,بين 200 و 500,2.0,350.0,نعم,ثالثة,2,لا,ملك,20.0
هندسة مدنية,الطالب,نعم,حلب,15.0,نعم,85.0,95,4.0,20.0,1.0,بين 100 و 200,2.0,200.0,لا,ثانية,2,لا,ايجار,85.0
هندسة مدنية,الأسرة(اب-أم),نعم,درعا,18.0,لا,80.0,100,1.0,1.0,2.0,بين 200 و 500,3.0,200.0,نعم,ثانية,3,لا,ايجار,10.0
هندسة مدنية,الأسرة(اب-أم),لا,حلب,10.0,لا,82.0,100,1.0,2.0,6.0,اقل من 100,2.0,75.0,نعم,ثانية,1,لا,ايجار,10.0
هندسة معلوماتية,الأسرة(اب-أم),لا,ريف دمشق,9.0,نعم,70.0,85,3.0,7.0,6.0,بين 500 و 1000,2.0,50.0,لا,خامسة,2,لا,ملك,20.0
هندسة معلوماتية,الطالب,نعم,دمشق,9.0,نعم,84.0,50,2.0,10.0,4.0,بين 200 و 500,1.0,220.0,نعم,رابعة,2,لا,ايجار,10.0
هندسة معلوماتية,الطالب,نعم,ادلب,3.0,لا,70.0,20,1.0,1.0,4.0,بين 200 و 500,1.0,150.0,نعم,خامسة,2,لا,ايجار,7.0
هندسة معلوماتية,الأسرة(اب-أم),نعم,ادلب,9.0,نعم,65.0,50,1.0,3.0,8.0,بين 500 و 1000,1.0,137.0,نعم,رابعة,3,لا,ملك,125.0
هندسة معلوماتية,الطالب,نعم,حلب,9.0,لا,74.0,70,1.0,1.0,7.0,بين 200 و 500,2.0,300.0,نعم,خامسة,4,لا,ملك,5.0
هندسة معلوماتية,الأسرة(اب-أم),لا,ادلب,9.0,نعم,75.0,80,2.0,10.0,7.0,بين 200 و 500,1.0,200.0,نعم,رابعة,1,لا,ايجار,2.0
هندسة معلوماتية,الطالب,نعم,حلب,6.0,نعم,65.0,50,4.0,30.0,1.0,بين 200 و 500,1.0,200.0,نعم,ثانية,2,لا,ايجار,5.0
هندسة معلوماتية,الطالب,نعم,ادلب,3.0,نعم,76.0,30,4.0,15.0,6.0,بين 500 و 1000,1.0,200.0,نعم,رابعة,3,نعم,ملك,180.0
هندسة معلوماتية,الأسرة(اب-أم),لا,حلب,36.0,لا,60.0,85,1.0,1.0,1.0,بين 100 و 200,2.0,220.0,نعم,أولى,2,لا,ملك,3.0
هندسة معلوماتية,الأسرة(اب-أم),نعم,ادلب,6.0,لا,73.0,40,1.0,4.0,8.0,بين 500 و 1000,3.0,250.0,نعم,خامسة,7,لا,ملك,4.0
هندسة معلوماتية,الأسرة(اب-أم),لا,ادلب,3.0,لا,84.0,60,1.0,2.0,1.0,بين 500 و 1000,1.0,80.0,نعم,خامسة,2,لا,ايجار,5.0
هندسة معلوماتية,الأسرة(اب-أم),لا,ادلب,9.0,لا,85.0,90,0.0,0.0,9.0,بين 200 و 500,1.0,150.0,نعم,رابعة,2,لا,ايجار,20.0
هندسة معلوماتية,الطالب,نعم,ادلب,9.0,نعم,50.0,20,2.0,7.0,1.0,بين 100 و 200,1.0,101.0,لا,ثانية,2,لا,ملك,110.0
علوم طبية وصحية,الأسرة(اب-أم),لا,حلب,12.0,نعم,60.0,100,6.0,2.0,1.0,بين 100 و 200,1.0,80.0,لا,ثالثة,1,لا,ملك,10.0
علوم طبية وصحية,الأسرة(اب-أم),لا,ادلب,18.0,لا,87.0,100,1.0,1.0,1.0,بين 100 و 200,4.0,650.0,نعم,أولى,1,لا,ايجار,82.0
هندسة معلوماتية,الطالب,نعم,ادلب,15.0,لا,72.0,80,1.0,2.0,15.0,بين 200 و 500,1.0,450.0,نعم,خامسة,3,لا,ملك,167.0
هندسة معلوماتية,الطالب,نعم,ادلب,9.0,نعم,70.0,60,4.0,7.0,6.0,بين 200 و 500,1.0,150.0,نعم,ثالثة,3,لا,ايجار,5.0
هندسة مدنية,الأسرة(اب-أم),لا,ادلب,32.0,نعم,80.0,100,2.0,3.0,1.0,اقل من 100,3.0,500.0,لا,ثانية,3,لا,ايجار,5.0
هندسة معلوماتية,الطالب,نعم,حلب,9.0,نعم,70.0,50,3.0,20.0,6.0,بين 100 و 200,1.0,300.0,نعم,ثالثة,2,لا,ايجار,100.0
هندسة معلوماتية,الطالب,نعم,حمص,3.0,لا,78.0,60,1.0,3.0,10.0,بين 200 و 500,1.0,200.0,نعم,خامسة,2,لا,مخيم,80.0
هندسة معلوماتية,الأسرة(اب-أم),نعم,حماه,12.0,نعم,74.0,75,3.0,7.0,4.0,بين 200 و 500,1.0,168.0,لا,ثالثة,3,لا,ايجار,200.0
تربية,الطالب,نعم,حلب,18.0,لا,65.0,70,1.0,2.0,2.0,بين 100 و 200,2.0,100.0,لا,أولى,4,لا,ايجار,100.0
هندسة مدنية,جهة داعمة,لا,حلب,8.0,لا,86.97,90,1.0,1.0,1.0,بين 200 و 500,1.0,500.0,نعم,ثانية,1,لا,ملك,25.0
هندسة معلوماتية,الطالب,لا,حلب,9.0,نعم,70.0,70,4.0,7.0,2.0,بين 100 و 200,1.0,130.0,نعم,رابعة,1,لا,ايجار,35.0
هندسة معلوماتية,الأسرة(اب-أم),لا,حلب,15.0,نعم,79.0,85,4.0,10.0,6.0,بين 200 و 500,2.0,190.0,لا,رابعة,2,نعم,ايجار,20.0
هندسة معلوماتية,الأسرة(اب-أم),نعم,حلب,9.0,نعم,80.0,50,3.0,10.0,6.0,بين 100 و 200,2.0,168.0,نعم,رابعة,3,نعم,ايجار,6.0
هندسة معلوماتية,الطالب,نعم,حلب,9.0,نعم,84.0,90,3.0,7.0,4.0,بين 100 و 200,1.0,140.0,نعم,رابعة,2,لا,ايجار,7.0
هندسة معلوماتية,الطالب,نعم,ادلب,9.0,نعم,70.0,50,4.0,10.0,8.0,بين 200 و 500,1.0,99.0,نعم,رابعة,1,لا,ملك,125.0
هندسة معلوماتية,الأسرة(اب-أم),لا,ادلب,3.0,لا,80.0,100,1.0,1.0,12.0,بين 100 و 200,1.0,300.0,نعم,رابعة,1,لا,ايجار,4.5
هندسة معلوماتية,الطالب,نعم,حلب,9.0,نعم,70.0,85,6.0,2.0,5.0,بين 100 و 200,2.0,125.0,نعم,رابعة,2,لا,ملك,60.0
هندسة معلوماتية,الأسرة(اب-أم),لا,ادلب,9.0,لا,88.6,90,1.0,1.0,9.0,بين 200 و 500,1.0,115.0,نعم,رابعة,3,لا,ملك,140.0
هندسة معلوماتية,الأسرة(اب-أم),لا,ادلب,9.0,نعم,75.0,70,1.0,15.0,8.0,بين 200 و 500,1.0,190.0,لا,ثالثة,1,لا,ايجار,5.0
هندسة معلوماتية,الطالب,نعم,حلب,9.0,نعم,86.0,60,2.0,30.0,5.0,بين 200 و 500,2.0,200.0,نعم,رابعة,2,لا,ملك,250.0
هندسة معلوماتية,الطالب,نعم,ادلب,9.0,لا,70.0,75,1.0,1.0,1.0,بين 500 و 1000,1.0,125.0,نعم,رابعة,3,لا,ملك,110.0
هندسة معلوماتية,الأسرة(اب-أم),لا,حمص,9.0,نعم,82.0,80,2.0,7.0,7.0,بين 500 و 1000,1.0,120.0,نعم,خامسة,2,لا,ايجار,5.0
هندسة معلوماتية,الطالب,نعم,حلب,9.0,نعم,72.0,10,1.0,7.0,2.0,بين 500 و 1000,1.0,125.0,نعم,خامسة,3,لا,ملك,63.0
هندسة معلوماتية,الطالب,نعم,ادلب,9.0,لا,88.0,70,1.0,2.0,4.0,اكثر من 1000,3.0,150.0,نعم,رابعة,5,نعم,ايجار,5.0
هندسة معلوماتية,الأسرة(اب-أم),لا,حلب,9.0,لا,75.0,85,1.0,1.0,5.0,بين 100 و 200,1.0,200.0,نعم,رابعة,3,لا,ملك,20.0
هندسة معلوماتية,الأسرة(اب-أم),لا,ادلب,3.0,لا,85.0,95,1.0,2.0,2.0,اكثر من 1000,1.0,300.0,نعم,أولى,3,لا,ملك,4.0
هندسة معلوماتية,الطالب,نعم,ريف دمشق,12.0,نعم,74.0,50,1.0,5.0,14.0,بين 500 و 1000,2.0,200.0,نعم,رابعة,2,لا,ملك,20.0
هندسة معلوماتية,الأسرة(اب-أم),لا,ادلب,9.0,نعم,60.0,75,4.0,6.0,4.0,بين 200 و 500,1.0,130.0,لا,ثالثة,1,لا,ملك,100.0
هندسة معلوماتية,الطالب,نعم,ادلب,9.0,نعم,66.0,40,3.0,4.0,8.0,بين 500 و 1000,1.0,150.0,نعم,خامسة,3,لا,ملك,170.0
